id,ratedFloodZone,elevationDifference,postFIRMConstructionIndicator,primaryResidenceIndicator,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim
6b4ad46d-0de0-483a-8b88-fd393404d97a,AE,5.0,1,1,429.54,0.00,0.00
58d0550a-ecd2-48f9-acba-c6a20f8a826c,C,,1,0,8518.22,0.00,0.00
dd26fec7-e594-4565-9c82-cb750c780aa8,B,,0,1,72378.45,836.80,0.00
0ff0fae4-6f92-4114-b4aa-c3f16d9015d1,,,0,0,0.00,15800.00,0.00
4f7c2612-80e9-4313-afca-829816f70885,AE,1.0,1,0,177634.93,0.00,0.00
7901e16e-e347-4734-b28f-947764e9580b,A,,0,1,12672.53,3395.71,0.00
5eb2d248-b41b-4b35-9229-d3dcf0fc9f1c,X,,1,1,,,
611b201c-70fe-490c-a25a-e4773408ca72,,,0,0,0.00,4010.00,0.00
ff9df317-13ba-4c1d-93d9-14c2dbbcc67c,,,0,0,7900.00,2000.00,0.00
4e080d8d-0731-442a-8d05-7b0fabd7d77f,AE,,0,1,6208.11,0.00,0.00
94d0f3d7-5099-4981-9490-9dfdd11bf773,AE,1.0,0,1,132000.00,25000.00,0.00
ee98b0d5-00f8-45e0-8c2d-3dbaba275b85,AE,,0,0,0.00,0.00,0.00
c1adee3c-2cab-4c04-9d0b-d47deed3356f,A04,,0,0,45964.74,0.00,0.00
b3b64dd9-dce1-4f5c-870e-8b412d86e2f0,X,,1,0,,,
e359c421-abd7-4f89-8c67-03c39df887cb,B,,0,1,2323.92,574.83,0.00
3ede9d25-35f8-4c9e-b192-de60be24d885,A07,,0,0,2578.03,0.00,0.00
89354768-c4b0-4b42-8946-46f6b06c0f3e,B,,1,1,9784.14,0.00,0.00
fe812011-5b78-43b3-a13e-465a03266e6c,A02,,0,0,4356.40,0.00,0.00
0bda7a40-784b-4c79-ba11-626742c0f3fb,A01,,0,1,37148.78,0.00,0.00
5ba696f2-4bdd-408f-bb11-502ec7fb14f6,AE,0.0,1,1,2801.82,0.00,0.00
0d36368d-b089-421c-8ce8-28fc9fd10274,AE,,0,1,8867.21,0.00,0.00
0007dd4d-b8d3-482c-9ba7-2fde55203929,AE,,0,1,116721.52,58509.68,0.00
acdcaa04-6bfd-40cb-90cf-48b3c1f16f5a,A12,,0,0,,,
4c8a5ebc-d41c-4246-bf1d-fadfb737dc22,AE,,0,1,2194.78,0.00,0.00
