id,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,netBuildingPaymentAmount,netContentsPaymentAmount
24dc804d-6943-47f4-915c-7aaadf454002,2205.31,0.00,0.00,2205.31,0.00
64b22c66-8dbe-4fe4-b1a4-9d457420685b,86586.91,21400.00,0.00,86586.91,21400.00
98442daf-6742-44b2-86be-1ae0f4611a7d,27000.00,5000.00,0.00,27000.00,5000.00
793c2bfa-5798-418a-94b9-6c0383342e67,50103.58,0.00,0.00,50103.58,0.00
65c8690d-d5aa-4b19-b643-c8230901d216,0.00,2470.73,0.00,0.00,2470.73
a2288899-26e4-4216-9ea7-f4b584cea4e8,80197.62,10000.00,0.00,80197.62,10000.00
84d33c92-8cad-4601-a44f-9d7cfbfa0eaa,,,,0.00,0.00
ca2a910b-6b31-42b0-a8e2-3b2512514c54,2811.75,0.00,0.00,2811.75,0.00
1f71acc1-c9ed-4e6d-bd49-3492f3e9935d,0.00,0.00,0.00,0.00,0.00
e5aec7a5-9765-4ab2-b3c2-127d26e91bd7,25275.40,7040.00,0.00,25275.40,7040.00
36370586-d89d-44f2-a1ab-01333f25398e,0.00,0.00,0.00,0.00,0.00
3f7bd06e-9def-47e1-b0de-556df0951b3b,44371.36,0.00,0.00,44371.36,0.00
4d5fa2c0-27a1-4841-b124-c39ddddbe3dd,65000.00,26000.00,0.00,65000.00,26000.00
bf660da3-4c18-450c-b183-cf2b89ca5eb9,304.22,496.00,0.00,304.22,496.00
88192336-4844-45cc-bdfa-9b27db6e9e58,451.10,0.00,0.00,451.10,0.00
59514367-e30c-4cbb-8d12-15fbeda226fe,85745.52,0.00,0.00,85745.52,0.00
aebcebea-0a35-4bd3-a3da-14fd4354cb8f,,,,0.00,0.00
8bbaf5c9-8b42-4684-84db-a723f3c68903,78273.36,23738.48,0.00,78273.36,23738.48
58317739-baba-45d4-a901-427505e42b7d,1178.95,0.00,0.00,1178.95,0.00
67d75d16-cf0b-4886-9d36-dcc89fb8cb3b,2861.93,0.00,0.00,2861.93,0.00
d998aacc-09b1-4b0a-a4e9-e94ee3ddd651,429.54,0.00,0.00,429.54,0.00
8e5c1843-3adb-4043-be4d-cbdfdeb4d111,8518.22,0.00,0.00,8518.22,0.00
01fe17aa-1775-46db-a69a-d0088e35f1a4,72378.45,836.80,0.00,72378.45,836.80
6dd91998-17ec-40e1-aa70-f5a1ffd3852f,0.00,15800.00,0.00,0.00,15800.00
f6157dcc-ad47-463d-87e7-0f750da4c83a,177634.93,0.00,0.00,177634.93,0.00
c4d50dc0-9096-40ce-a5a9-7009ff0c181e,12672.53,3395.71,0.00,12672.53,3395.71
35919a94-d89c-4939-b2bc-89aa1d66832e,,,,0.00,0.00
05e4dc2b-04a1-4523-8d01-7a64d1d9dad4,0.00,4010.00,0.00,0.00,4010.00
05bba866-ebf2-4c07-97f1-ca3365fb69c3,7900.00,2000.00,0.00,7900.00,2000.00
eadeb223-b925-496b-b0c6-ec0155511221,6208.11,0.00,0.00,6208.11,0.00
3f232ea1-269b-4874-a79f-7262ba5f46b8,132000.00,25000.00,0.00,132000.00,25000.00
5b323026-2fc9-4aca-b8d9-dbc348658077,0.00,0.00,0.00,0.00,0.00
74d91c92-bcfc-4676-882b-5399a429ea14,45964.74,0.00,0.00,45964.74,0.00
6891c37a-c7bb-4483-b9f6-171bdac8cd05,,,,0.00,0.00
127b15a9-10a3-44b3-a77b-f5744efe83fb,2323.92,574.83,0.00,2323.92,574.83
70e6d2a9-8d11-40b7-aa50-fe96a9cab743,2578.03,0.00,0.00,2578.03,0.00
8c990028-b04e-4f48-a072-7ea11572833a,9784.14,0.00,0.00,9784.14,0.00
cc835391-2164-41e3-b911-830012ba10c8,4356.40,0.00,0.00,4356.40,0.00
1d0d9f84-f99e-4896-8f4c-491ed0f5d252,37148.78,0.00,0.00,37148.78,0.00
0c383a37-0d57-41d6-a7ca-d5ad1ea66b18,2801.82,0.00,0.00,2801.82,0.00
3371b702-821f-46e1-a30b-d59fe2bd94b3,8867.21,0.00,0.00,8867.21,0.00
a48a104e-6573-47d5-af67-d132cdba1024,116721.52,58509.68,0.00,116721.52,58509.68
1cec2db9-bf4b-41df-97da-3e90b7f70aa0,,,,0.00,0.00
